,{},"{kubernetes_node=""node1""}","{kubernetes_node=""node2""}","{kubernetes_node=""node3""}","{kubernetes_node=""node4""}","{kubernetes_node=""node5""}"
2022-11-09 17:38:38,8754397184.0,4625014784.0,1068503040.0,1025847296.0,1047777280.0,987881472.0
2022-11-09 17:38:39,8756785152.0,4625960960.0,1066463232.0,1027321856.0,1049731072.0,987525120.0
2022-11-09 17:38:40,8766431232.0,4624855040.0,1069199360.0,1027993600.0,1049722880.0,987201536.0
2022-11-09 17:38:41,8796663808.0,4629970944.0,1069002752.0,1029296128.0,1068568576.0,984133632.0
2022-11-09 17:38:42,8772489216.0,4629942272.0,1069551616.0,1027899392.0,1047748608.0,988057600.0
2022-11-09 17:38:43,8762392576.0,4648148992.0,1066737664.0,1029324800.0,1049067520.0,988200960.0
2022-11-09 17:38:44,8765026304.0,4632088576.0,1066438656.0,1029705728.0,1049399296.0,987164672.0
2022-11-09 17:38:45,8774172672.0,4628983808.0,1066934272.0,1028673536.0,1048645632.0,988741632.0
2022-11-09 17:38:46,8753524736.0,4638240768.0,1067208704.0,1029541888.0,1050972160.0,973860864.0
2022-11-09 17:38:47,8785752064.0,4629790720.0,1067679744.0,1030529024.0,1051770880.0,974245888.0
2022-11-09 17:38:48,8761544704.0,4630405120.0,1067401216.0,1032642560.0,1051287552.0,979566592.0
2022-11-09 17:38:49,8755109888.0,4630331392.0,1067294720.0,1032175616.0,1050423296.0,979800064.0
2022-11-09 17:38:50,8767348736.0,4631392256.0,1066749952.0,1030094848.0,1049284608.0,979062784.0
2022-11-09 17:38:51,8764137472.0,4629344256.0,1069203456.0,1029636096.0,1055166464.0,975917056.0
2022-11-09 17:38:52,8755236864.0,4631150592.0,1069924352.0,1031847936.0,1048662016.0,973766656.0
2022-11-09 17:38:53,8752271360.0,4629299200.0,1067188224.0,1031729152.0,1049116672.0,974266368.0
2022-11-09 17:38:54,8751476736.0,4627009536.0,1066487808.0,1032146944.0,1048780800.0,974393344.0
2022-11-09 17:38:55,8750985216.0,4627787776.0,1067745280.0,1032499200.0,1049141248.0,975204352.0
2022-11-09 17:38:56,8750096384.0,4631240704.0,1065246720.0,1030434816.0,1049985024.0,974831616.0
2022-11-09 17:38:57,8756912128.0,4629413888.0,1065308160.0,1030803456.0,1050161152.0,975409152.0
2022-11-09 17:38:58,8758382592.0,4629733376.0,1066549248.0,1033826304.0,1053757440.0,976728064.0
2022-11-09 17:38:59,8756387840.0,4631482368.0,1066139648.0,1031405568.0,1052467200.0,978788352.0
2022-11-09 17:39:00,8758505472.0,4633100288.0,1067573248.0,1032339456.0,1053016064.0,975433728.0
